density_sample_id,hole_id,dataset_id,project_id,campaign_id,from_m,to_m,length_m,density_t_m3
CR-C01-005-D0008,CR-C01-005,DS04,cerro_rojo,CAMPAIGN_01,185.365270225,186.365270225,1.000000000,2.529878831
CR-C01-005-D0009,CR-C01-005,DS04,cerro_rojo,CAMPAIGN_01,210.365270225,211.365270225,1.000000000,2.569182813
CR-C01-005-D0010,CR-C01-005,DS04,cerro_rojo,CAMPAIGN_01,235.365270225,236.365270225,1.000000000,2.543536089
CR-C01-005-D0011,CR-C01-005,DS04,cerro_rojo,CAMPAIGN_01,260.365270225,261.365270225,1.000000000,2.532195562
CR-C01-006-D0001,CR-C01-006,DS04,cerro_rojo,CAMPAIGN_01,2.570842063,3.570842063,1.000000000,2.304985850
CR-C01-006-D0002,CR-C01-006,DS04,cerro_rojo,CAMPAIGN_01,27.570842063,28.570842063,1.000000000,2.758018155
CR-C01-006-D0003,CR-C01-006,DS04,cerro_rojo,CAMPAIGN_01,52.570842063,53.570842063,1.000000000,2.716039623
CR-C01-006-D0004,CR-C01-006,DS04,cerro_rojo,CAMPAIGN_01,77.570842063,78.570842063,1.000000000,2.696998352
CR-C01-006-D0005,CR-C01-006,DS04,cerro_rojo,CAMPAIGN_01,102.570842063,103.570842063,1.000000000,2.696208069
CR-C01-006-D0006,CR-C01-006,DS04,cerro_rojo,CAMPAIGN_01,127.570842063,128.570842063,1.000000000,2.713908136
CR-C01-006-D0007,CR-C01-006,DS04,cerro_rojo,CAMPAIGN_01,152.570842063,153.570842063,1.000000000,2.699268535
CR-C01-006-D0008,CR-C01-006,DS04,cerro_rojo,CAMPAIGN_01,177.570842063,178.570842063,1.000000000,2.744832952
CR-C01-006-D0009,CR-C01-006,DS04,cerro_rojo,CAMPAIGN_01,202.570842063,203.570842063,1.000000000,2.722465593
CR-C01-006-D0010,CR-C01-006,DS04,cerro_rojo,CAMPAIGN_01,227.570842063,228.570842063,1.000000000,2.751319255
CR-C01-006-D0011,CR-C01-006,DS04,cerro_rojo,CAMPAIGN_01,252.570842063,253.570842063,1.000000000,2.700227126
CR-C01-006-D0012,CR-C01-006,DS04,cerro_rojo,CAMPAIGN_01,277.570842063,278.570842063,1.000000000,2.746555697
CR-C01-006-D0013,CR-C01-006,DS04,cerro_rojo,CAMPAIGN_01,302.570842063,303.570842063,1.000000000,2.672289789
CR-C01-006-D0014,CR-C01-006,DS04,cerro_rojo,CAMPAIGN_01,327.570842063,328.570842063,1.000000000,2.648615985
CR-C01-006-D0015,CR-C01-006,DS04,cerro_rojo,CAMPAIGN_01,352.570842063,353.570842063,1.000000000,2.594726469
CR-C01-007-D0001,CR-C01-007,DS04,cerro_rojo,CAMPAIGN_01,10.027499513,11.027499513,1.000000000,2.741851720
CR-C01-007-D0002,CR-C01-007,DS04,cerro_rojo,CAMPAIGN_01,35.027499513,36.027499513,1.000000000,2.705071646
CR-C01-007-D0003,CR-C01-007,DS04,cerro_rojo,CAMPAIGN_01,60.027499513,61.027499513,1.000000000,2.677610755
CR-C01-007-D0004,CR-C01-007,DS04,cerro_rojo,CAMPAIGN_01,85.027499513,86.027499513,1.000000000,2.655179319
CR-C01-007-D0005,CR-C01-007,DS04,cerro_rojo,CAMPAIGN_01,110.027499513,111.027499513,1.000000000,2.695692957
CR-C01-007-D0006,CR-C01-007,DS04,cerro_rojo,CAMPAIGN_01,135.027499513,136.027499513,1.000000000,2.686125505
CR-C01-007-D0007,CR-C01-007,DS04,cerro_rojo,CAMPAIGN_01,160.027499513,161.027499513,1.000000000,2.716660856
CR-C01-007-D0008,CR-C01-007,DS04,cerro_rojo,CAMPAIGN_01,185.027499513,186.027499513,1.000000000,2.714807217
CR-C01-007-D0009,CR-C01-007,DS04,cerro_rojo,CAMPAIGN_01,210.027499513,211.027499513,1.000000000,2.715884844
CR-C01-008-D0001,CR-C01-008,DS04,cerro_rojo,CAMPAIGN_01,12.335367772,13.335367772,1.000000000,2.617698615
CR-C01-008-D0002,CR-C01-008,DS04,cerro_rojo,CAMPAIGN_01,37.335367772,38.335367772,1.000000000,2.642433594
CR-C01-008-D0003,CR-C01-008,DS04,cerro_rojo,CAMPAIGN_01,62.335367772,63.335367772,1.000000000,2.647519159
CR-C01-008-D0004,CR-C01-008,DS04,cerro_rojo,CAMPAIGN_01,87.335367772,88.335367772,1.000000000,2.646234516
CR-C01-008-D0005,CR-C01-008,DS04,cerro_rojo,CAMPAIGN_01,112.335367772,113.335367772,1.000000000,2.633105112
CR-C01-008-D0006,CR-C01-008,DS04,cerro_rojo,CAMPAIGN_01,137.335367772,138.335367772,1.000000000,2.658964634
CR-C01-008-D0007,CR-C01-008,DS04,cerro_rojo,CAMPAIGN_01,162.335367772,163.335367772,1.000000000,2.651143462
CR-C01-008-D0008,CR-C01-008,DS04,cerro_rojo,CAMPAIGN_01,187.335367772,188.335367772,1.000000000,2.612289301
CR-C01-008-D0009,CR-C01-008,DS04,cerro_rojo,CAMPAIGN_01,212.335367772,213.335367772,1.000000000,2.640479390
CR-C01-008-D0010,CR-C01-008,DS04,cerro_rojo,CAMPAIGN_01,237.335367772,238.335367772,1.000000000,2.613363818
CR-C01-009-D0001,CR-C01-009,DS04,cerro_rojo,CAMPAIGN_01,16.950178392,17.950178392,1.000000000,2.700503986
CR-C01-009-D0002,CR-C01-009,DS04,cerro_rojo,CAMPAIGN_01,41.950178392,42.950178392,1.000000000,2.772088600
CR-C01-009-D0003,CR-C01-009,DS04,cerro_rojo,CAMPAIGN_01,66.950178392,67.950178392,1.000000000,2.709430180
CR-C01-009-D0004,CR-C01-009,DS04,cerro_rojo,CAMPAIGN_01,91.950178392,92.950178392,1.000000000,2.689440301
CR-C01-009-D0005,CR-C01-009,DS04,cerro_rojo,CAMPAIGN_01,116.950178392,117.950178392,1.000000000,2.704650526
CR-C01-009-D0006,CR-C01-009,DS04,cerro_rojo,CAMPAIGN_01,141.950178392,142.950178392,1.000000000,2.709962709
CR-C01-009-D0007,CR-C01-009,DS04,cerro_rojo,CAMPAIGN_01,166.950178392,167.950178392,1.000000000,2.720997949
CR-C01-009-D0008,CR-C01-009,DS04,cerro_rojo,CAMPAIGN_01,191.950178392,192.950178392,1.000000000,2.737461854
CR-C01-009-D0009,CR-C01-009,DS04,cerro_rojo,CAMPAIGN_01,216.950178392,217.950178392,1.000000000,2.700438688
CR-C01-009-D0010,CR-C01-009,DS04,cerro_rojo,CAMPAIGN_01,241.950178392,242.950178392,1.000000000,2.706786073
CR-C01-009-D0011,CR-C01-009,DS04,cerro_rojo,CAMPAIGN_01,266.950178392,267.950178392,1.000000000,2.707431931
CR-C01-009-D0012,CR-C01-009,DS04,cerro_rojo,CAMPAIGN_01,291.950178392,292.950178392,1.000000000,2.721163604
CR-C02-001-D0001,CR-C02-001,DS04,cerro_rojo,CAMPAIGN_02,5.206362854,6.206362854,1.000000000,2.274076596
CR-C02-001-D0002,CR-C02-001,DS04,cerro_rojo,CAMPAIGN_02,30.206362854,31.206362854,1.000000000,2.709597586
CR-C02-001-D0003,CR-C02-001,DS04,cerro_rojo,CAMPAIGN_02,55.206362854,56.206362854,1.000000000,2.629630090
CR-C02-001-D0004,CR-C02-001,DS04,cerro_rojo,CAMPAIGN_02,80.206362854,81.206362854,1.000000000,2.638885354
CR-C02-001-D0005,CR-C02-001,DS04,cerro_rojo,CAMPAIGN_02,105.206362854,106.206362854,1.000000000,2.688603700
CR-C02-001-D0006,CR-C02-001,DS04,cerro_rojo,CAMPAIGN_02,130.206362854,131.206362854,1.000000000,2.654045579
CR-C02-001-D0007,CR-C02-001,DS04,cerro_rojo,CAMPAIGN_02,155.206362854,156.206362854,1.000000000,2.651351335
CR-C02-001-D0008,CR-C02-001,DS04,cerro_rojo,CAMPAIGN_02,180.206362854,181.206362854,1.000000000,2.656076292
CR-C02-001-D0009,CR-C02-001,DS04,cerro_rojo,CAMPAIGN_02,205.206362854,206.206362854,1.000000000,2.622626706
CR-C02-001-D0010,CR-C02-001,DS04,cerro_rojo,CAMPAIGN_02,230.206362854,231.206362854,1.000000000,2.630475467
CR-C02-002-D0001,CR-C02-002,DS04,cerro_rojo,CAMPAIGN_02,2.198087217,3.198087217,1.000000000,2.322943290
CR-C02-002-D0002,CR-C02-002,DS04,cerro_rojo,CAMPAIGN_02,27.198087217,28.198087217,1.000000000,2.657177361
CR-C02-002-D0003,CR-C02-002,DS04,cerro_rojo,CAMPAIGN_02,52.198087217,53.198087217,1.000000000,2.639540209
CR-C02-002-D0004,CR-C02-002,DS04,cerro_rojo,CAMPAIGN_02,77.198087217,78.198087217,1.000000000,2.649494480
CR-C02-002-D0005,CR-C02-002,DS04,cerro_rojo,CAMPAIGN_02,102.198087217,103.198087217,1.000000000,2.643098200
CR-C02-002-D0006,CR-C02-002,DS04,cerro_rojo,CAMPAIGN_02,127.198087217,128.198087217,1.000000000,2.606494449
CR-C02-002-D0007,CR-C02-002,DS04,cerro_rojo,CAMPAIGN_02,152.198087217,153.198087217,1.000000000,2.613320670
CR-C02-002-D0008,CR-C02-002,DS04,cerro_rojo,CAMPAIGN_02,177.198087217,178.198087217,1.000000000,2.627911480
CR-C02-002-D0009,CR-C02-002,DS04,cerro_rojo,CAMPAIGN_02,202.198087217,203.198087217,1.000000000,2.622225742
CR-C02-002-D0010,CR-C02-002,DS04,cerro_rojo,CAMPAIGN_02,227.198087217,228.198087217,1.000000000,2.513697613
CR-C02-002-D0011,CR-C02-002,DS04,cerro_rojo,CAMPAIGN_02,252.198087217,253.198087217,1.000000000,2.563183908
CR-C02-002-D0012,CR-C02-002,DS04,cerro_rojo,CAMPAIGN_02,277.198087217,278.198087217,1.000000000,2.536331533
CR-C02-003-D0001,CR-C02-003,DS04,cerro_rojo,CAMPAIGN_02,8.870301366,9.870301366,1.000000000,2.666556029
CR-C02-003-D0002,CR-C02-003,DS04,cerro_rojo,CAMPAIGN_02,33.870301366,34.870301366,1.000000000,2.713843974
CR-C02-003-D0003,CR-C02-003,DS04,cerro_rojo,CAMPAIGN_02,58.870301366,59.870301366,1.000000000,2.725914074
CR-C02-003-D0004,CR-C02-003,DS04,cerro_rojo,CAMPAIGN_02,83.870301366,84.870301366,1.000000000,2.728794980
CR-C02-003-D0005,CR-C02-003,DS04,cerro_rojo,CAMPAIGN_02,108.870301366,109.870301366,1.000000000,2.682831343
CR-C02-003-D0006,CR-C02-003,DS04,cerro_rojo,CAMPAIGN_02,133.870301366,134.870301366,1.000000000,2.674961164
CR-C02-003-D0007,CR-C02-003,DS04,cerro_rojo,CAMPAIGN_02,158.870301366,159.870301366,1.000000000,2.697540757
CR-C02-003-D0008,CR-C02-003,DS04,cerro_rojo,CAMPAIGN_02,183.870301366,184.870301366,1.000000000,2.643307021
CR-C02-003-D0009,CR-C02-003,DS04,cerro_rojo,CAMPAIGN_02,208.870301366,209.870301366,1.000000000,2.677415203
CR-C02-003-D0010,CR-C02-003,DS04,cerro_rojo,CAMPAIGN_02,233.870301366,234.870301366,1.000000000,2.614884506
CR-C02-003-D0011,CR-C02-003,DS04,cerro_rojo,CAMPAIGN_02,258.870301366,259.870301366,1.000000000,2.621147720
CR-C02-003-D0012,CR-C02-003,DS04,cerro_rojo,CAMPAIGN_02,283.870301366,284.870301366,1.000000000,2.613735915
CR-C02-003-D0013,CR-C02-003,DS04,cerro_rojo,CAMPAIGN_02,308.870301366,309.870301366,1.000000000,2.661026088
CR-C02-003-D0014,CR-C02-003,DS04,cerro_rojo,CAMPAIGN_02,333.870301366,334.870301366,1.000000000,2.646833475
CR-C02-003-D0015,CR-C02-003,DS04,cerro_rojo,CAMPAIGN_02,358.870301366,359.870301366,1.000000000,2.607633443
CR-C02-004-D0001,CR-C02-004,DS04,cerro_rojo,CAMPAIGN_02,19.908826952,20.908826952,1.000000000,2.714549725
CR-C02-004-D0002,CR-C02-004,DS04,cerro_rojo,CAMPAIGN_02,44.908826952,45.908826952,1.000000000,2.696131182
CR-C02-004-D0003,CR-C02-004,DS04,cerro_rojo,CAMPAIGN_02,69.908826952,70.908826952,1.000000000,2.705191155
CR-C02-004-D0004,CR-C02-004,DS04,cerro_rojo,CAMPAIGN_02,94.908826952,95.908826952,1.000000000,2.686905405
CR-C02-004-D0005,CR-C02-004,DS04,cerro_rojo,CAMPAIGN_02,119.908826952,120.908826952,1.000000000,2.697411367
CR-C02-004-D0006,CR-C02-004,DS04,cerro_rojo,CAMPAIGN_02,144.908826952,145.908826952,1.000000000,2.678717570
CR-C02-004-D0007,CR-C02-004,DS04,cerro_rojo,CAMPAIGN_02,169.908826952,170.908826952,1.000000000,2.681796897
CR-C02-004-D0008,CR-C02-004,DS04,cerro_rojo,CAMPAIGN_02,194.908826952,195.908826952,1.000000000,2.680524495
CR-C02-004-D0009,CR-C02-004,DS04,cerro_rojo,CAMPAIGN_02,219.908826952,220.908826952,1.000000000,2.709406299
CR-C02-004-D0010,CR-C02-004,DS04,cerro_rojo,CAMPAIGN_02,244.908826952,245.908826952,1.000000000,2.709035208
CR-C02-004-D0011,CR-C02-004,DS04,cerro_rojo,CAMPAIGN_02,269.908826952,270.908826952,1.000000000,2.736305566
CR-C02-004-D0012,CR-C02-004,DS04,cerro_rojo,CAMPAIGN_02,294.908826952,295.908826952,1.000000000,2.707403883
CR-C02-004-D0013,CR-C02-004,DS04,cerro_rojo,CAMPAIGN_02,319.908826952,320.908826952,1.000000000,2.716708006
CR-C02-004-D0014,CR-C02-004,DS04,cerro_rojo,CAMPAIGN_02,344.908826952,345.908826952,1.000000000,2.715527722
CR-C02-004-D0015,CR-C02-004,DS04,cerro_rojo,CAMPAIGN_02,369.908826952,370.908826952,1.000000000,2.612208056
CR-C02-004-D0016,CR-C02-004,DS04,cerro_rojo,CAMPAIGN_02,394.908826952,395.908826952,1.000000000,2.642697124
CR-C02-004-D0017,CR-C02-004,DS04,cerro_rojo,CAMPAIGN_02,419.908826952,420.908826952,1.000000000,2.632292958
CR-C02-005-D0001,CR-C02-005,DS04,cerro_rojo,CAMPAIGN_02,18.395572838,19.395572838,1.000000000,2.622939118
CR-C02-005-D0002,CR-C02-005,DS04,cerro_rojo,CAMPAIGN_02,43.395572838,44.395572838,1.000000000,2.663961209
CR-C02-005-D0003,CR-C02-005,DS04,cerro_rojo,CAMPAIGN_02,68.395572838,69.395572838,1.000000000,2.638704340
CR-C02-005-D0004,CR-C02-005,DS04,cerro_rojo,CAMPAIGN_02,93.395572838,94.395572838,1.000000000,2.628498347
CR-C02-005-D0005,CR-C02-005,DS04,cerro_rojo,CAMPAIGN_02,118.395572838,119.395572838,1.000000000,2.626628736
CR-C02-005-D0006,CR-C02-005,DS04,cerro_rojo,CAMPAIGN_02,143.395572838,144.395572838,1.000000000,2.645895869
CR-C02-005-D0007,CR-C02-005,DS04,cerro_rojo,CAMPAIGN_02,168.395572838,169.395572838,1.000000000,2.652991735
CR-C02-005-D0008,CR-C02-005,DS04,cerro_rojo,CAMPAIGN_02,193.395572838,194.395572838,1.000000000,2.681024729
CR-C02-005-D0009,CR-C02-005,DS04,cerro_rojo,CAMPAIGN_02,218.395572838,219.395572838,1.000000000,2.609901469
CR-C02-005-D0010,CR-C02-005,DS04,cerro_rojo,CAMPAIGN_02,243.395572838,244.395572838,1.000000000,2.641286767
CR-C02-006-D0001,CR-C02-006,DS04,cerro_rojo,CAMPAIGN_02,6.244823803,7.244823803,1.000000000,2.385176237
CR-C02-006-D0002,CR-C02-006,DS04,cerro_rojo,CAMPAIGN_02,31.244823803,32.244823803,1.000000000,2.635613601
CR-C02-006-D0003,CR-C02-006,DS04,cerro_rojo,CAMPAIGN_02,56.244823803,57.244823803,1.000000000,2.568547241
CR-C02-006-D0004,CR-C02-006,DS04,cerro_rojo,CAMPAIGN_02,81.244823803,82.244823803,1.000000000,2.625020920
CR-C02-006-D0005,CR-C02-006,DS04,cerro_rojo,CAMPAIGN_02,106.244823803,107.244823803,1.000000000,2.614294297
CR-C02-006-D0006,CR-C02-006,DS04,cerro_rojo,CAMPAIGN_02,131.244823803,132.244823803,1.000000000,2.639962387
CR-C02-006-D0007,CR-C02-006,DS04,cerro_rojo,CAMPAIGN_02,156.244823803,157.244823803,1.000000000,2.602233239
CR-C02-006-D0008,CR-C02-006,DS04,cerro_rojo,CAMPAIGN_02,181.244823803,182.244823803,1.000000000,2.533614123
CR-C02-006-D0009,CR-C02-006,DS04,cerro_rojo,CAMPAIGN_02,206.244823803,207.244823803,1.000000000,2.559774967
CR-C02-006-D0010,CR-C02-006,DS04,cerro_rojo,CAMPAIGN_02,231.244823803,232.244823803,1.000000000,2.573620568
CR-C02-006-D0011,CR-C02-006,DS04,cerro_rojo,CAMPAIGN_02,256.244823803,257.244823803,1.000000000,2.543962034
CR-C02-006-D0012,CR-C02-006,DS04,cerro_rojo,CAMPAIGN_02,281.244823803,282.244823803,1.000000000,2.596753794
CR-C02-007-D0001,CR-C02-007,DS04,cerro_rojo,CAMPAIGN_02,4.155006253,5.155006253,1.000000000,2.313712589
CR-C02-007-D0002,CR-C02-007,DS04,cerro_rojo,CAMPAIGN_02,29.155006253,30.155006253,1.000000000,2.727689242
CR-C02-007-D0003,CR-C02-007,DS04,cerro_rojo,CAMPAIGN_02,54.155006253,55.155006253,1.000000000,2.687575544
CR-C02-007-D0004,CR-C02-007,DS04,cerro_rojo,CAMPAIGN_02,79.155006253,80.155006253,1.000000000,2.746137209
CR-C02-007-D0005,CR-C02-007,DS04,cerro_rojo,CAMPAIGN_02,104.155006253,105.155006253,1.000000000,2.686855823
CR-C02-007-D0006,CR-C02-007,DS04,cerro_rojo,CAMPAIGN_02,129.155006253,130.155006253,1.000000000,2.646646546
CR-C02-007-D0007,CR-C02-007,DS04,cerro_rojo,CAMPAIGN_02,154.155006253,155.155006253,1.000000000,2.650909037
CR-C02-007-D0008,CR-C02-007,DS04,cerro_rojo,CAMPAIGN_02,179.155006253,180.155006253,1.000000000,2.609911234
CR-C02-007-D0009,CR-C02-007,DS04,cerro_rojo,CAMPAIGN_02,204.155006253,205.155006253,1.000000000,2.628734236
CR-C02-007-D0010,CR-C02-007,DS04,cerro_rojo,CAMPAIGN_02,229.155006253,230.155006253,1.000000000,2.640028925
CR-C02-007-D0011,CR-C02-007,DS04,cerro_rojo,CAMPAIGN_02,254.155006253,255.155006253,1.000000000,2.622372592
CR-C02-007-D0012,CR-C02-007,DS04,cerro_rojo,CAMPAIGN_02,279.155006253,280.155006253,1.000000000,2.663932293
CR-C02-007-D0013,CR-C02-007,DS04,cerro_rojo,CAMPAIGN_02,304.155006253,305.155006253,1.000000000,2.636103824
CR-C02-007-D0014,CR-C02-007,DS04,cerro_rojo,CAMPAIGN_02,329.155006253,330.155006253,1.000000000,2.612907400
CR-C02-008-D0001,CR-C02-008,DS04,cerro_rojo,CAMPAIGN_02,15.760470017,16.760470017,1.000000000,2.719249312
CR-C02-008-D0002,CR-C02-008,DS04,cerro_rojo,CAMPAIGN_02,40.760470017,41.760470017,1.000000000,2.706682509
CR-C02-008-D0003,CR-C02-008,DS04,cerro_rojo,CAMPAIGN_02,65.760470017,66.760470017,1.000000000,2.736716397
CR-C02-008-D0004,CR-C02-008,DS04,cerro_rojo,CAMPAIGN_02,90.760470017,91.760470017,1.000000000,2.674072851
CR-C02-008-D0005,CR-C02-008,DS04,cerro_rojo,CAMPAIGN_02,115.760470017,116.760470017,1.000000000,2.730188865
CR-C02-008-D0006,CR-C02-008,DS04,cerro_rojo,CAMPAIGN_02,140.760470017,141.760470017,1.000000000,2.713701747
CR-C02-008-D0007,CR-C02-008,DS04,cerro_rojo,CAMPAIGN_02,165.760470017,166.760470017,1.000000000,2.722060291
CR-C02-008-D0008,CR-C02-008,DS04,cerro_rojo,CAMPAIGN_02,190.760470017,191.760470017,1.000000000,2.682747152
CR-C02-008-D0009,CR-C02-008,DS04,cerro_rojo,CAMPAIGN_02,215.760470017,216.760470017,1.000000000,2.736268335
CR-C02-008-D0010,CR-C02-008,DS04,cerro_rojo,CAMPAIGN_02,240.760470017,241.760470017,1.000000000,2.690766715
CR-C02-008-D0011,CR-C02-008,DS04,cerro_rojo,CAMPAIGN_02,265.760470017,266.760470017,1.000000000,2.719507739
CR-C02-008-D0012,CR-C02-008,DS04,cerro_rojo,CAMPAIGN_02,290.760470017,291.760470017,1.000000000,2.718991777
CR-C02-008-D0013,CR-C02-008,DS04,cerro_rojo,CAMPAIGN_02,315.760470017,316.760470017,1.000000000,2.660804981
