hole_id,dataset_id,project_id,campaign_id,from_m,to_m,length_m,lith_code
CR-C02-010,DS04,cerro_rojo,CAMPAIGN_02,158.000000000,252.000000000,94.000000000,BRX
CR-C02-010,DS04,cerro_rojo,CAMPAIGN_02,252.000000000,264.200886599,12.200886599,POR
CR-C02-011,DS04,cerro_rojo,CAMPAIGN_02,0.000000000,7.000000000,7.000000000,REG
CR-C02-011,DS04,cerro_rojo,CAMPAIGN_02,7.000000000,50.000000000,43.000000000,DIO
CR-C02-011,DS04,cerro_rojo,CAMPAIGN_02,50.000000000,295.707291123,245.707291123,POR
CR-C02-012,DS04,cerro_rojo,CAMPAIGN_02,0.000000000,9.000000000,9.000000000,REG
CR-C02-012,DS04,cerro_rojo,CAMPAIGN_02,9.000000000,10.000000000,1.000000000,DIO
CR-C02-012,DS04,cerro_rojo,CAMPAIGN_02,10.000000000,11.000000000,1.000000000,REG
CR-C02-012,DS04,cerro_rojo,CAMPAIGN_02,11.000000000,226.000000000,215.000000000,DIO
CR-C02-012,DS04,cerro_rojo,CAMPAIGN_02,226.000000000,347.984641236,121.984641236,POR
CR-C02-013,DS04,cerro_rojo,CAMPAIGN_02,0.000000000,7.000000000,7.000000000,REG
CR-C02-013,DS04,cerro_rojo,CAMPAIGN_02,7.000000000,17.000000000,10.000000000,DIO
CR-C02-013,DS04,cerro_rojo,CAMPAIGN_02,17.000000000,230.000000000,213.000000000,POR
CR-C02-014,DS04,cerro_rojo,CAMPAIGN_02,0.000000000,7.000000000,7.000000000,REG
CR-C02-014,DS04,cerro_rojo,CAMPAIGN_02,7.000000000,244.276992637,237.276992637,POR
CR-C02-015,DS04,cerro_rojo,CAMPAIGN_02,0.000000000,7.000000000,7.000000000,REG
CR-C02-015,DS04,cerro_rojo,CAMPAIGN_02,7.000000000,70.000000000,63.000000000,DIO
CR-C02-015,DS04,cerro_rojo,CAMPAIGN_02,70.000000000,281.874414600,211.874414600,POR
CR-C02-016,DS04,cerro_rojo,CAMPAIGN_02,0.000000000,7.000000000,7.000000000,REG
CR-C02-016,DS04,cerro_rojo,CAMPAIGN_02,7.000000000,8.000000000,1.000000000,DIO
CR-C02-016,DS04,cerro_rojo,CAMPAIGN_02,8.000000000,9.000000000,1.000000000,REG
CR-C02-016,DS04,cerro_rojo,CAMPAIGN_02,9.000000000,256.000000000,247.000000000,DIO
CR-C02-016,DS04,cerro_rojo,CAMPAIGN_02,256.000000000,330.572132118,74.572132118,POR
CR-C02-017,DS04,cerro_rojo,CAMPAIGN_02,0.000000000,7.000000000,7.000000000,REG
CR-C02-017,DS04,cerro_rojo,CAMPAIGN_02,7.000000000,91.000000000,84.000000000,DIO
CR-C02-017,DS04,cerro_rojo,CAMPAIGN_02,91.000000000,230.000000000,139.000000000,POR
CR-C02-018,DS04,cerro_rojo,CAMPAIGN_02,0.000000000,7.000000000,7.000000000,REG
CR-C02-018,DS04,cerro_rojo,CAMPAIGN_02,7.000000000,42.000000000,35.000000000,DIO
CR-C02-018,DS04,cerro_rojo,CAMPAIGN_02,42.000000000,232.322656260,190.322656260,POR
CR-C02-019,DS04,cerro_rojo,CAMPAIGN_02,0.000000000,7.000000000,7.000000000,REG
CR-C02-019,DS04,cerro_rojo,CAMPAIGN_02,7.000000000,157.000000000,150.000000000,DIO
CR-C02-019,DS04,cerro_rojo,CAMPAIGN_02,157.000000000,273.979451091,116.979451091,POR
CR-C02-020,DS04,cerro_rojo,CAMPAIGN_02,0.000000000,7.000000000,7.000000000,REG
CR-C02-020,DS04,cerro_rojo,CAMPAIGN_02,7.000000000,305.567356214,298.567356214,DIO
CR-C03-001,DS04,cerro_rojo,CAMPAIGN_03,0.000000000,5.000000000,5.000000000,REG
CR-C03-001,DS04,cerro_rojo,CAMPAIGN_03,5.000000000,223.000000000,218.000000000,POR
CR-C03-001,DS04,cerro_rojo,CAMPAIGN_03,223.000000000,296.406046069,73.406046069,BRX
CR-C03-002,DS04,cerro_rojo,CAMPAIGN_03,0.000000000,9.000000000,9.000000000,REG
CR-C03-002,DS04,cerro_rojo,CAMPAIGN_03,9.000000000,122.000000000,113.000000000,DIO
CR-C03-002,DS04,cerro_rojo,CAMPAIGN_03,122.000000000,303.000000000,181.000000000,POR
CR-C03-002,DS04,cerro_rojo,CAMPAIGN_03,303.000000000,379.228963437,76.228963437,BRX
CR-C03-003,DS04,cerro_rojo,CAMPAIGN_03,0.000000000,13.000000000,13.000000000,REG
CR-C03-003,DS04,cerro_rojo,CAMPAIGN_03,13.000000000,15.000000000,2.000000000,DIO
CR-C03-003,DS04,cerro_rojo,CAMPAIGN_03,15.000000000,19.000000000,4.000000000,REG
CR-C03-003,DS04,cerro_rojo,CAMPAIGN_03,19.000000000,105.000000000,86.000000000,DIO
CR-C03-003,DS04,cerro_rojo,CAMPAIGN_03,105.000000000,329.000000000,224.000000000,POR
CR-C03-003,DS04,cerro_rojo,CAMPAIGN_03,329.000000000,393.000000000,64.000000000,BRX
CR-C03-003,DS04,cerro_rojo,CAMPAIGN_03,393.000000000,395.110039845,2.110039845,POR
CR-C03-004,DS04,cerro_rojo,CAMPAIGN_03,0.000000000,7.000000000,7.000000000,REG
CR-C03-004,DS04,cerro_rojo,CAMPAIGN_03,7.000000000,51.000000000,44.000000000,DIO
CR-C03-004,DS04,cerro_rojo,CAMPAIGN_03,51.000000000,227.000000000,176.000000000,POR
CR-C03-004,DS04,cerro_rojo,CAMPAIGN_03,227.000000000,290.261166922,63.261166922,BRX
CR-C03-005,DS04,cerro_rojo,CAMPAIGN_03,0.000000000,7.000000000,7.000000000,REG
CR-C03-005,DS04,cerro_rojo,CAMPAIGN_03,7.000000000,264.000000000,257.000000000,POR
CR-C03-005,DS04,cerro_rojo,CAMPAIGN_03,264.000000000,329.247075623,65.247075623,BRX
CR-C03-006,DS04,cerro_rojo,CAMPAIGN_03,0.000000000,9.000000000,9.000000000,REG
CR-C03-006,DS04,cerro_rojo,CAMPAIGN_03,9.000000000,75.000000000,66.000000000,DIO
CR-C03-006,DS04,cerro_rojo,CAMPAIGN_03,75.000000000,271.000000000,196.000000000,POR
CR-C03-006,DS04,cerro_rojo,CAMPAIGN_03,271.000000000,336.993835551,65.993835551,BRX
